filename	AC Accuracy V0	DICE V0	ER V0	Jaccard V0	SE Sensitivity V0	SP Specificity V0
ISIC_0000000	0,9590648497	0,9582462596	0,0409351503	0,9198395192	0,9999945683	0,9228076591
ISIC_0000001	0,927198759	0,6595027417	0,072801241	0,4919836557	1	0,9216766766
ISIC_0000002	0,9839323667	0,9735398604	0,0160676333	0,9484439023	0,9623934606	0,9934802382
ISIC_0000003	0,9376034924	0,9151685754	0,0623965076	0,8436044113	1	0,9059487045
ISIC_0000004	0,9117370904	0,8738566107	0,0882629096	0,7759727749	0,8862123543	0,9251798589
ISIC_0000005	0,9765740412	0,9501313049	0,0234259588	0,9050001293	0,9291944205	0,991549868
ISIC_0000006	0,865588092	0,5771311607	0,134411908	0,4056109353	1	0,8520144668
ISIC_0000007	0,955080791	0,7967794996	0,044919209	0,6622057215	1	0,9507433059
ISIC_0000008	0,9076688345	0,8796557412	0,0923311655	0,7851655723	0,9998903778	0,8606913922
ISIC_0000009	0,9630616655	0,9260742908	0,0369383345	0,8623262139	0,9999393512	0,9519603254
ISIC_0000010	0,9600318419	0,8030129648	0,0399681582	0,6708618733	1	0,9564870781
ISIC_0000011	0,7489354156	0,6352926787	0,2510645844	0,4655156962	0,4655156962	1
ISIC_0000012	0,9604847208	0,7180682097	0,0395152792	0,5601454112	1	0,9583908719
ISIC_0000013	0,9680854321	0,9452971082	0,0319145679	0,8962686227	0,9999398613	0,9559561534
ISIC_0000014	0,9071241041	0,8579860996	0,0928758959	0,7512921684	1	0,8709056799
ISIC_0000015	0,908145952	0,8321803824	0,091854048	0,7125932549	1	0,8810578291
ISIC_0000016	0,8942814789	0,7974432929	0,1057185211	0,6631232342	1	0,8664999863
ISIC_0000017	0,9710391422	0,9141786096	0,0289608579	0,8419235591	0,9997289921	0,9658050557
ISIC_0000018	0,9705373801	0,9409195799	0,0294626199	0,8884307197	0,9959250509	0,9627137212
ISIC_0000019	0,9786321213	0,9659936248	0,0213678788	0,9342240512	0,9439628959	0,9950602903
ISIC_0000020	0,9776456759	0,9551437343	0,0223543241	0,914138878	0,9935635507	0,9726315953
ISIC_0000021	0,9746769171	0,9514700953	0,0253230829	0,9074324833	0,9773898768	0,973753285
ISIC_0000022	0,9419398875	0,9241762696	0,0580601125	0,8590406062	0,8650080985	0,9951915459
ISIC_0000023	0,9548090242	0,8868644186	0,0451909758	0,7967263229	1	0,9450816064
ISIC_0000024	0,8216023877	0,6338674041	0,1783976123	0,463986736	0,463986736	1
ISIC_0000025	0,8913602699	0,7831200651	0,1086397301	0,6435475207	1	0,8648523113
ISIC_0000026	0,78150147	0,7425459098	0,21849853	0,5905153242	0,5905153242	1
ISIC_0000027	0,9691133652	0,9249375267	0,0308866348	0,8603570021	0,9999907158	0,9618565017
ISIC_0000028	0,98625808	0,9721590516	0,01374192	0,945826349	0,9993597496	0,9821189851
ISIC_0000029	0,9603719871	0,9513766698	0,0396280129	0,9072625437	1	0,935281552
ISIC_0000030	0,844505851	0,8188643185	0,155494149	0,6932855652	0,7061156594	0,9816591806
ISIC_0000031	0,8056926437	0,5765037949	0,1943073563	0,4049914519	0,4055406975	0,9993436801
ISIC_0000032	0,9695497569	0,9519641243	0,0304502431	0,9083316195	0,9164424776	0,9956170695
ISIC_0000033	0,8421846437	0,8026125535	0,1578153563	0,6703031302	0,7136964085	0,9471266188
ISIC_0000034	0,9133400392	0,8261924392	0,0866599608	0,7038568048	1	0,8908607869
ISIC_0000035	0,9874877504	0,9866790559	0,0125122496	0,9737083415	0,9953889243	0,9806055571
ISIC_0000036	0,7978629177	0,7522305831	0,2021370823	0,6028602504	0,7821387719	0,808014281
ISIC_0000037	0,9434916985	0,9296333236	0,0565083015	0,8685185591	0,8685185591	1
ISIC_0000038	0,9231185101	0,9205778677	0,0768814899	0,8528432391	0,8528432391	1
ISIC_0000039	0,8459266579	0,7417034683	0,1540733421	0,5894504591	1	0,802162593
ISIC_0000040	0,926322249	0,8425789144	0,073677751	0,7279795788	0,7341314739	0,9968968305
ISIC_0000041	0,8637886804	0,5042833414	0,1362113196	0,3371516513	1	0,8536491069
ISIC_0000042	0,8803480061	0,8479246461	0,1196519939	0,7359975571	0,9950913822	0,8224887559
ISIC_0000043	0,8785370691	0,8700969709	0,1214629309	0,7700634024	0,992151534	0,7995845598
ISIC_0000044	0,9823570567	0,9829826828	0,0176429433	0,9665348525	0,9990381895	0,9649915078
ISIC_0000045	0,890157101	0,8541346186	0,109842899	0,7454057278	0,9992808454	0,838371365
ISIC_0000046	0,9695750806	0,9596956775	0,0304249194	0,9225143611	0,9517404867	0,9805335818
ISIC_0000047	0,9891820807	0,977655106	0,0108179193	0,9562869749	0,9588494255	0,9991219161
ISIC_0000048	0,9951867356	0,981091742	0,0048132644	0,962885259	0,9799468515	0,9974123286
ISIC_0000049	0,8052014822	0,8263438661	0,1947985178	0,7040766391	0,7066592198	0,9930092309
ISIC_0000050	0,85027114	0,7861654581	0,14972886	0,6476710218	0,975842082	0,8009390657
						
	AC Accuracy V0	DICE V0	ER V0	Jaccard V0	SE Sensitivity V0	SP Specificity V0
	0,9180034076	0,8507065548	0,0819965924	0,757217287	0,9138417119	0,9367075404
