filename	AC Accuracy V0	DICE V0	ER V0	Jaccard V0	SE Sensitivity V0	SP Specificity V0	
ISIC_0008029	0.99282211	0.940650597	0.007177889957	0.887951222	0.9830131915	0.9934245692	
ISIC_0008145	0.9923257222	0.8651720308	0.007674277838	0.7623816599	0.9851939465	0.9925085313	
ISIC_0008236	0.9897702499	0.9275182208	0.01022975013	0.8648335467	0.9984610715	0.989160567	
ISIC_0008256	0.9959560191	0.955173647	0.004043980851	0.9141936784	0.9956760419	0.9959686824	
ISIC_0008280	0.9888030347	0.8947984077	0.01119696528	0.8096246095	0.8103749567	0.9999421417	
ISIC_0008294	0.9871801055	0.824867847	0.01281989455	0.7019362417	1.0	0.9867810153	
ISIC_0008347	0.9749619725	0.4137440468	0.02503802747	0.2608305714	0.2608305714	1.0	
ISIC_0008396	0.9829515083	0.5987279561	0.01704849174	0.4272746028	0.4272746028	1.0	
ISIC_0008403	0.9552613484	0.8013584396	0.04473865163	0.6685555265	0.9637332838	0.9543860951	
ISIC_0008524	0.9931407252	0.8854523202	0.006859274773	0.7944499247	0.9999752909	0.9929545945	
ISIC_0008528	0.9915822048	0.9529348853	0.008417795153	0.9101008829	0.9977230871	0.9910087119	
ISIC_0008541	0.9927937778	0.8948731487	0.007206222225	0.8097469966	1.0	0.9925657636	
ISIC_0008552	0.9896898386	0.8846942121	0.01031016136	0.7932301811	1.0	0.9892652489	
ISIC_0008785	0.9747599561	0.8829082209	0.02524004393	0.790363189	0.9980250244	0.972307901	
ISIC_0008807	0.9821619715	0.8126415883	0.01783802852	0.6844113625	1.0	0.9814441378	
ISIC_0008879	0.9978722139	0.9668614045	0.002127786061	0.9358486933	0.9819933476	0.9983905227	
ISIC_0008913	0.9340771181	0.7521320312	0.06592288186	0.6027336626	0.6027336626	1.0	
ISIC_0008993	0.9903188513	0.9293322605	0.009681148694	0.8679931469	0.8967200046	0.9974710472	
ISIC_0009160	0.9628581467	0.7872938635	0.03714185327	0.6492041557	0.9990678002	0.9601828166	
ISIC_0009165	0.9762124409	0.8176784137	0.02378755909	0.6915871479	1.0	0.9748720829	
ISIC_0009188	0.9838182628	0.7028609492	0.01618173725	0.5418547447	0.5418547447	1.0	
ISIC_0009252	0.9895262503	0.9207870187	0.01047374969	0.8532023193	0.9995878977	0.9888737645	
ISIC_0009297	0.9891719968	0.8870607648	0.01082800315	0.7970433037	0.8200913732	0.9984186022	
ISIC_0009344	0.9737238688	0.8198063124	0.02627613119	0.6946370931	0.9955511306	0.9723296551	
ISIC_0009430	0.9911088278	0.9393932617	0.00889117221	0.8857130809	0.8935866973	0.9992572361	
ISIC_0009504	0.9940702038	0.9119292476	0.005929796244	0.8381157619	1.0	0.9938823929	
ISIC_0009505	0.9947484586	0.9080439499	0.005251541406	0.8315755472	0.998612377	0.994645458	
ISIC_0009533	0.980396036	0.8603220537	0.01960396403	0.7548817247	0.9994333848	0.9791720954	
ISIC_0009583	0.9943416531	0.94072415	0.005658346915	0.8880823158	0.9396835081	0.9970843693	
ISIC_0009599	0.9881809407	0.9208956721	0.01181905933	0.8533889155	1.0	0.9873077659	
ISIC_0009758	0.9826597209	0.9290289576	0.01734027909	0.8674641244	0.9192429818	0.9915923329	
ISIC_0009800	0.9904964894	0.9200064789	0.009503510581	0.8518629612	0.9999610443	0.9899493278	
ISIC_0009860	0.993512402	0.9161129111	0.006487598	0.8452106501	0.8695431952	0.9987773484	
ISIC_0009868	0.9577382406	0.8651771082	0.04226175944	0.762389545	0.762389545	1.0	
ISIC_0009870	0.9871457418	0.7976540763	0.01285425822	0.6634147966	0.6634147966	1.0	
ISIC_0009871	0.8576291402	0.7838083634	0.1423708598	0.6444776792	0.6444776792	1.0	
ISIC_0009873	0.9734319051	0.9479466661	0.02656809489	0.901044306	0.943794306	0.983647117	
ISIC_0009875	0.9152997335	0.8642694276	0.08470026652	0.7609810359	0.8162657327	0.9641583527	
ISIC_0009877	0.9852714539	0.9684540783	0.01472854614	0.9388375814	0.9389069901	0.999976552	
ISIC_0009883	0.9877128601	0.9630885942	0.01228713989	0.9288050926	0.9288256228	0.9999953896	
ISIC_0009884	0.9791653951	0.8915410635	0.0208346049	0.804306803	0.804306803	1.0	
ISIC_0009888	0.9552205404	0.72784321	0.04477945964	0.5721332588	0.5721332588	1.0	
ISIC_0009893	0.9619166056	0.8577264738	0.03808339437	0.7508941196	0.771188902	0.9952731391	
ISIC_0009895	0.9272829692	0.8508677454	0.07271703084	0.7404437061	0.9365577817	0.9246441766	
ISIC_0009896	0.8434346517	0.7031286166	0.1565653483	0.5421729754	0.5422314446	0.9999439636	
ISIC_0009897	0.9788564046	0.9825216062	0.02114359538	0.9656437053	0.983381623	0.971945047	
ISIC_0009899	0.8277015686	0.6521557201	0.1722984314	0.4838509388	0.4838509388	1.0	
ISIC_0009900	0.85191981	0.7904426518	0.14808019	0.6534974575	0.6534974575	1.0	
ISIC_0009904	0.9495773315	0.9416325918	0.05042266846	0.8897029372	0.8897029372	1.0	
ISIC_0009905	0.9854850769	0.9622760606	0.0145149231	0.927294846	0.9513258145	0.9937384945	
ISIC_0009909	0.9209111532	0.7591651824	0.07908884684	0.6118180854	0.6119326588	0.9999520945	
ISIC_0009910	0.8722432454	0.8089275662	0.1277567546	0.6791590027	0.6857835661	0.9936490274	
ISIC_0009911	0.9459533691	0.7660501982	0.05404663086	0.6208114763	0.6208114763	1.0	
ISIC_0009912	0.9696121216	0.7459497385	0.03038787842	0.5948324093	0.5948324093	1.0	
ISIC_0009914	0.9777984619	0.939584357	0.02220153809	0.8860529012	0.8864925924	0.9998799897	
ISIC_0009915	0.8993822734	0.8426511616	0.1006177266	0.7280874475	0.7314530328	0.9973045442	
ISIC_0009917	0.984114329	0.9201117783	0.01588567098	0.8520435354	0.8610067259	0.9987494202	
ISIC_0009919	0.8914044698	0.8056137859	0.1085955302	0.6745002382	0.6745002382	1.0	
ISIC_0009921	0.7516581217	0.7643709085	0.2483418783	0.6186087021	0.6219194003	0.9901615086	
ISIC_0009925	0.9003791809	0.8118176905	0.09962081909	0.6832433744	0.6832433744	1.0	
ISIC_0009929	0.9970753988	0.9253052741	0.002924601237	0.8609935936	0.865281827	0.9998935021	
ISIC_0009932	0.9917284648	0.9829760618	0.008271535238	0.9665220502	0.9881871327	0.9928569632	
ISIC_0009933	0.9805831909	0.9499521481	0.01941680908	0.9046751025	0.9454774394	0.9890816797	
ISIC_0009934	0.6597137451	0.7530470924	0.3402862549	0.6039098092	0.6048811873	0.9903023694	
ISIC_0009935	0.9640782674	0.8540157301	0.03592173258	0.7452246532	0.7452246532	1.0	
ISIC_0009936	0.9939943949	0.9094568947	0.006005605062	0.833948599	0.8363892807	0.9998905117	
ISIC_0009937	0.9801928202	0.84541873	0.01980717977	0.7322297286	0.7351362546	0.999684278	
ISIC_0009938	0.8898379008	0.7183343575	0.1101620992	0.5604693873	0.5604693873	1.0	
ISIC_0009939	0.9837875366	0.9656360167	0.01621246338	0.9335553367	0.9347390501	0.9995914497	
ISIC_0009940	0.9843037923	0.9849120808	0.01569620768	0.970272685	0.9840316534	0.9845993469	
ISIC_0009941	0.9801266988	0.9352587125	0.01987330119	0.8783905756	0.8783905756	1.0	
ISIC_0009942	0.9613507589	0.8990229528	0.03864924113	0.8165682973	0.885209973	0.9797199718	
ISIC_0009944	0.543703715	0.1860096904	0.456296285	0.1025417222	0.4019863524	0.5648227153	
ISIC_0009947	0.93861262	0.7650468427	0.06138737996	0.6194946247	0.6194946247	1.0	
